city,lat,lng,country,timestamp,aqi_val,co,no,no2,o3,pm2_5,pm10,nh3
Moscow,55.7558,37.6178,Russia,1699483193,1,337.12,7.49,34.62,0.82,6.56,9.38,0.86
Istanbul,41.0136,28.955,Turkey,1699483193,2,247.0,0.0,6.08,60.08,16.62,30.94,0.51
London,51.5072,-0.1275,United Kingdom,1699482634,1,257.02,0.03,26.73,39.7,2.73,5.47,0.8
Paris,48.8567,2.3522,France,1699483084,2,250.34,0.0,5.66,68.67,1.89,2.32,0.31
Madrid,40.4169,-3.7033,Spain,1699483145,1,247.0,0.0,8.14,47.21,2.26,3.15,0.55
Ankara,39.93,32.85,Turkey,1699483193,5,1041.41,73.31,84.31,0.0,116.6,130.63,8.23
Saint Petersburg,59.95,30.3167,Russia,1699483194,2,317.1,6.2,25.02,1.24,3.08,4.52,0.16
Barcelona,41.3825,2.1769,Spain,1699483194,2,243.66,0.0,8.23,65.09,1.62,2.48,1.05
Berlin,52.52,13.405,Germany,1699483194,1,263.69,0.0,14.4,51.5,1.37,1.87,1.28
Izmir,38.42,27.14,Turkey,1699483194,4,594.14,0.73,62.38,4.56,66.46,86.48,1.84
Budapest,47.4925,19.0514,Hungary,1699483194,2,400.54,6.59,28.79,1.27,14.1,18.56,1.08
Bursa,40.1833,29.05,Turkey,1699483194,3,363.83,0.0,39.41,41.13,33.15,43.08,9.5
Rome,41.8931,12.4828,Italy,1699483194,2,720.98,18.55,19.36,0.03,15.07,17.75,2.69
Stuttgart,48.7775,9.18,Germany,1699483194,2,240.33,0.0,6.0,64.37,1.84,2.39,1.5
Munich,48.1375,11.575,Germany,1699483194,1,327.11,0.32,31.19,14.13,5.29,6.18,0.74
Hamburg,53.55,10.0,Germany,1699482743,2,236.99,0.0,8.91,61.51,0.73,0.83,0.35
Antalya,36.8874,30.7075,Turkey,1699483194,3,270.37,0.0,13.88,55.08,45.46,51.45,2.91
Baku,40.3667,49.8352,Azerbaijan,1699483195,2,213.62,0.0,1.59,77.96,2.28,3.62,0.0
Konya,37.8667,32.4833,Turkey,1699483195,1,206.95,0.0,5.74,58.65,8.97,11.66,5.45
Gaziantep,37.0628,37.3792,Turkey,1699483195,3,267.03,0.0,26.05,37.91,27.99,34.81,5.7
Minsk,53.9,27.5667,Belarus,1699483195,1,247.0,0.0,4.54,31.11,3.09,3.42,0.39
Sanliurfa,37.1583,38.7917,Turkey,1699483195,2,240.33,0.0,13.88,62.23,17.34,25.24,2.91
Vienna,48.2083,16.3725,Austria,1699482726,1,554.09,0.21,32.22,12.7,6.15,11.86,2.0
Warsaw,52.23,21.0111,Poland,1699482601,1,300.41,0.0,13.02,41.13,5.96,9.16,0.82
Adana,37.0,35.3213,Turkey,1699483195,4,480.65,4.3,33.93,0.41,66.49,93.74,14.44
Brussels,50.8467,4.3525,Belgium,1699483163,1,253.68,0.0,7.03,58.65,1.38,1.64,0.7
Diyarbakir,37.91,40.24,Turkey,1699482975,2,310.42,0.27,21.59,7.87,21.28,24.19,5.95
Stockholm,59.3294,18.0686,Sweden,1699483195,1,303.75,0.68,16.62,8.58,1.85,3.27,0.33
Sofia,42.7,23.33,Bulgaria,1699483195,1,220.3,0.0,1.93,57.94,3.12,3.78,0.06
Amsterdam,52.3728,4.8936,Netherlands,1699483006,2,236.99,0.0,14.22,61.51,1.22,3.44,0.73
Kharkiv,49.9925,36.2311,Ukraine,1699483196,1,233.65,0.02,4.37,21.99,7.15,7.38,0.22
Kayseri,38.7225,35.4875,Turkey,1699482752,4,500.68,0.0,31.19,47.92,64.33,69.49,20.52
Belgrade,44.82,20.46,Serbia,1699483196,1,270.37,0.01,16.62,28.97,7.47,13.84,2.82
Copenhagen,55.6761,12.5683,Denmark,1699483196,2,243.66,0.0,6.86,63.66,1.11,1.26,0.31
Milan,45.4669,9.19,Italy,1699483122,5,2269.75,68.84,67.86,0.0,93.98,106.96,7.85
Samsun,41.2903,36.3336,Turkey,1699483196,2,267.03,0.0,7.28,42.2,16.78,20.78,6.59
Prague,50.0875,14.4214,Czechia,1699483196,1,297.07,0.01,16.79,44.35,4.53,6.84,1.11
Porto,41.1621,-8.622,Portugal,1699483196,2,208.62,0.0,1.32,91.55,3.36,6.84,0.0
Helsinki,60.1708,24.9375,Finland,1699483196,2,654.22,9.16,22.28,0.06,24.71,33.33,0.5
Kazan,55.7964,49.1089,Russia,1699483197,1,253.68,0.04,7.37,18.77,1.0,1.2,0.15
Chelyabinsk,55.15,61.4,Russia,1699483183,2,397.21,0.6,22.28,8.58,11.52,14.91,0.21
Dublin,53.35,-6.2603,Ireland,1699483197,2,226.97,0.0,2.83,71.53,0.5,0.74,0.43
Samara,53.2028,50.1408,Russia,1699483197,1,240.33,0.0,6.94,15.2,0.95,1.39,0.05
Tbilisi,41.7225,44.7925,Georgia,1699483197,3,647.54,0.0,10.11,13.95,39.64,49.37,1.44
Ufa,54.7261,55.9475,Russia,1699483197,1,240.33,0.0,6.0,28.25,0.57,0.71,0.1
Sevilla,37.24,-5.99,Spain,1699483197,2,627.52,10.06,41.47,0.17,15.26,17.14,3.42
Voronezh,51.6717,39.2106,Russia,1699483197,2,267.03,0.2,10.11,5.28,13.2,13.62,0.0
Perm,58.0139,56.2489,Russia,1699483197,1,226.97,0.0,1.3,37.91,0.5,0.56,0.02
Denizli,37.7667,29.0833,Turkey,1699483197,3,367.17,0.0,27.42,20.56,37.76,44.34,8.49
Volgograd,48.7086,44.5147,Russia,1699483198,2,340.46,0.09,20.05,24.68,10.17,10.81,0.0
Naples,40.8333,14.25,Italy,1699483198,3,1068.12,30.85,18.85,0.0,26.68,28.71,2.0
Krasnodar,45.0333,38.9667,Russia,1699483198,2,216.96,0.0,0.51,77.96,3.27,4.93,0.03
Donetsk,48.0028,37.8053,Ukraine,1699483198,2,226.97,0.0,2.96,71.53,1.8,2.06,0.05
Riga,56.9489,24.1064,Latvia,1699483122,1,260.35,0.0,7.28,34.33,1.62,2.39,0.28
Eskisehir,39.7767,30.5206,Turkey,1699483198,2,243.66,0.01,9.77,21.99,17.53,29.68,4.81
Saratov,51.5333,46.0167,Russia,1699483198,1,293.73,2.93,18.68,1.36,5.26,5.67,0.2
Thessaloniki,40.6403,22.9347,Greece,1699483198,1,220.3,0.0,2.25,54.36,8.59,9.02,0.0
Zagreb,45.8167,15.9833,Croatia,1699483198,2,547.41,3.91,40.1,0.12,23.24,35.38,1.52
Krakow,50.0614,19.9372,Poland,1699482843,1,313.76,0.0,12.85,46.49,7.12,11.84,0.78
Valencia,39.47,-0.3764,Spain,1699483199,1,353.81,0.64,27.42,9.57,5.84,7.14,1.14
Erzurum,39.9086,41.2769,Turkey,1699483199,3,340.46,0.1,33.24,11.8,29.05,32.58,10.64
Zaporizhzhia,47.85,35.1175,Ukraine,1699483199,1,243.66,0.0,2.01,35.41,2.33,2.77,0.12
Lviv,49.8425,24.0322,Ukraine,1699483199,1,307.08,0.0,12.17,27.54,9.58,11.57,0.18
Vilnius,54.6872,25.28,Lithuania,1699483199,1,240.33,0.0,3.6,42.56,1.35,2.14,0.29
Chisinau,47.0228,28.8353,Moldova,1699483199,1,230.31,0.0,1.15,50.07,1.43,1.59,0.17
Lodz,51.7769,19.4547,Poland,1699483199,1,287.06,0.01,11.48,38.62,6.56,9.62,0.68
Zaragoza,41.65,-0.8833,Spain,1699483199,1,257.02,0.0,9.0,46.49,2.48,3.72,3.14
Wroclaw,51.11,17.0325,Poland,1699483199,1,310.42,0.0,14.22,44.35,6.48,9.04,0.98
Murcia,37.9861,-1.1303,Spain,1699483200,1,253.68,0.0,12.51,37.19,3.66,5.39,2.63
Dusseldorf,51.2333,6.7833,Germany,1699483200,2,240.33,0.0,5.48,67.23,0.5,0.77,0.42
Skopje,41.9961,21.4317,Macedonia,1699482817,1,253.68,0.0,4.8,53.64,2.7,3.95,0.45
Bremen,53.0833,8.8,Germany,1699483200,1,247.0,0.0,9.17,57.94,1.03,1.18,0.55
Orenburg,51.7667,55.1,Russia,1699483200,1,243.66,0.0,3.3,23.96,0.5,0.54,0.09
Dresden,51.05,13.74,Germany,1699483200,2,236.99,0.0,3.94,69.38,0.69,0.97,1.19
Poznan,52.4083,16.9336,Poland,1699482874,1,243.66,0.0,6.51,51.5,2.74,4.09,0.82
Hannover,52.3667,9.7167,Germany,1699483200,2,226.97,0.0,3.09,71.53,0.5,0.62,0.54
Astrakhan,46.35,48.035,Russia,1699483200,1,230.31,0.1,6.77,13.77,5.71,6.12,0.13
Penza,53.2,45.0,Russia,1699483200,1,226.97,0.0,4.41,38.62,2.97,3.2,0.08
Lyon,45.76,4.84,France,1699483201,1,260.35,0.0,7.45,55.08,3.23,4.05,0.72
Kirov,58.6,49.65,Russia,1699483201,1,236.99,0.0,1.24,27.54,0.5,0.55,0.03
