city,review_count,number_of_attractions,attraction_reviews,attraction_photos,local_time
Moscow,808984,8003,268942,367437,Tuesday 1:23 PM
Istanbul,1560700,4948,424944,497237,Tuesday 1:23 PM
London,7099844,8999,1795447,1019360,Tuesday 10:24 AM
Paris,5065682,8806,1299872,885187,Tuesday 11:25 AM
Madrid,2709643,3856,631089,355698,Tuesday 11:26 AM
Ankara,104012,581,22356,217810,Tuesday 1:26 PM
Saint Petersburg,145918,558,43567,29439,Tuesday 5:27 AM
Barcelona,3517752,5062,1031627,711149,Tuesday 11:28 AM
Berlin,1710819,3522,563525,371514,Tuesday 11:28 AM
Izmir,82426,513,17520,19186,Tuesday 1:29 PM
Budapest,1493107,2587,482100,360476,Tuesday 11:30 AM
Bursa,32161,303,11306,14697,Tuesday 1:31 PM
Rome,5657815,6328,1063443,750798,Tuesday 11:31 AM
Stuttgart,145412,457,35395,35910,Tuesday 11:32 AM
Munich,816216,1325,205235,147178,Tuesday 11:33 AM
Hamburg,500312,1229,128626,85789,Tuesday 11:33 AM
Antalya,302074,944,53947,62363,Tuesday 1:34 PM
Baku,117415,795,29488,45568,Tuesday 2:35 PM
Konya,31216,117,8278,12460,Tuesday 1:36 PM
Gaziantep,24484,74,6084,7099,Tuesday 1:37 PM
Minsk,73552,787,22545,26296,Tuesday 1:41 PM
Sanliurfa,11854,60,3870,5583,Tuesday 1:42 PM
Vienna,1202912,2338,339473,300189,Tuesday 11:42 AM
Warsaw,440946,1454,122800,99284,Tuesday 11:43 AM
Adana,22227,120,3688,4893,Tuesday 1:44 PM
Brussels,816296,1480,209782,155624,Tuesday 11:44 AM
Diyarbakir,7496,60,1924,2447,Tuesday 1:45 PM
Stockholm,622168,1021,177587,133747,Tuesday 11:46 AM
Sofia,180861,1098,57696,52410,Tuesday 12:47 PM
Amsterdam,2128358,3258,650694,317469,Tuesday 11:47 AM
Kharkiv,29087,359,6040,4403,Tuesday 12:48 PM
Kayseri,17217,141,2719,4749,Tuesday 1:49 PM
Belgrade,179549,1004,50330,49328,Tuesday 11:49 AM
Copenhagen,703956,1344,205723,162316,Tuesday 11:50 AM
Milan,2178629,3286,328782,292798,Tuesday 11:56 AM
Samsun,9813,67,2276,3649,Tuesday 1:57 PM
Prague,1925080,4293,607944,433582,Tuesday 11:57 AM
Porto,853450,1508,220175,155066,Tuesday 10:58 AM
Helsinki,260415,1067,87063,79385,Tuesday 12:59 PM
Kazan,99954,869,32950,36425,Tuesday 2:00 PM
Chelyabinsk,20959,340,5205,4501,Tuesday 4:00 PM
Dublin,1465036,1936,476956,249785,Tuesday 11:01 AM
Samara,37478,585,9341,9096,Tuesday 3:02 PM
Tbilisi,192827,1663,51708,75151,Tuesday 3:02 PM
Ufa,25236,324,5471,4280,Tuesday 4:03 PM
Sevilla,30,2,1,50,Tuesday 6:04 AM
Voronezh,26291,328,5319,4902,Tuesday 2:05 PM
Perm,20170,533,5316,8188,Tuesday 4:05 PM
Denizli,12126,75,2306,4145,Tuesday 2:07 PM
Volgograd,27721,416,9917,11196,Tuesday 2:22 PM
Naples,1234772,2026,209736,166799,Tuesday 12:23 PM
Krasnodar,46853,453,8758,7789,Tuesday 2:24 PM
Donetsk,2802,187,1098,1667,Tuesday 1:25 PM
Riga,224863,959,64079,60011,Tuesday 1:25 PM
Eskisehir,25768,106,6354,7431,Tuesday 2:26 PM
Saratov,12280,278,3077,2454,Tuesday 2:27 PM
Thessaloniki,174170,0,0,0,0
Zagreb,174991,1006,53020,49538,Tuesday 12:57 PM
Krakow,781895,1672,229975,174609,Tuesday 12:58 PM
Valencia,893687,1378,204202,168622,Tuesday 12:58 PM
Erzurum,5915,72,1651,2635,Tuesday 2:59 PM
Zaporizhzhia,6012,96,1350,2272,Tuesday 2:00 PM
Lviv,78837,351,17747,19145,Tuesday 2:01 PM
Vilnius,158717,740,48641,44734,Tuesday 2:01 PM
Chisinau,25768,299,6180,7583,Tuesday 2:02 PM
Lodz,42875,200,7016,6286,Tuesday 1:03 PM
Zaragoza,210811,352,42284,27890,Tuesday 1:03 PM
Wroclaw,142585,506,37358,43004,Tuesday 1:04 PM
Murcia,96744,333,14021,11057,Tuesday 1:05 PM
Dusseldorf,198505,547,31917,35711,Tuesday 1:06 PM
Skopje,40499,283,16418,14165,Tuesday 1:06 PM
Bremen,74384,338,16802,17412,Tuesday 1:07 PM
Orenburg,6732,169,1881,1683,Tuesday 5:08 PM
Dresden,153952,523,43208,40024,Tuesday 1:08 PM
Poznan,88522,535,17962,18132,Tuesday 1:09 PM
Hannover,70419,389,11199,12640,Tuesday 1:10 PM
Astrakhan,11271,161,3576,4008,Tuesday 3:11 PM
Penza,5239,153,1167,1280,Tuesday 3:11 PM
Lyon,547539,910,105209,62031,Tuesday 1:12 PM
Kirov,7572,172,1735,1825,Tuesday 3:13 PM
Mykolaiv,2992,64,677,652,Tuesday 2:14 PM
Toulouse,294494,622,46904,27385,Tuesday 1:14 PM
Cheboksary,9024,213,2108,2686,Tuesday 3:15 PM
Gdansk,203686,593,48303,50207,Tuesday 1:16 PM
Bratislava,169929,757,58734,72207,Tuesday 1:16 PM
Kaliningrad,68893,470,25710,37767,Tuesday 2:17 PM
Stavropol,7729,190,1269,1991,Tuesday 3:18 PM
Batman,792,11,132,353,Tuesday 3:19 PM
Kahramanmaras,3286,83,750,1611,Tuesday 3:19 PM
Tallinn,260487,833,76646,75375,Tuesday 2:20 PM
Zurich,329908,1028,56189,59314,Tuesday 1:21 PM
Trabzon,12480,0,0,0,0
Malatya,4006,97,834,2529,Tuesday 3:22 PM
Elazig,2751,50,587,1137,Tuesday 3:23 PM
Sarajevo,83834,477,28092,24045,Tuesday 1:24 PM
Tirana,71109,575,15660,18928,Tuesday 1:24 PM
