city_1,lat_1,lng_1,country_1,city_2,lat_2,lng_2,country_2,calc_distance_km,dist_km,duration_sec,estd_emissions_gm,estd_emissions_osrm_gm
Moscow,55.7558,37.6178,Russia,Saint Petersburg,59.95,30.3167,Russia,636.5768183916119,707.2302,27774.9,122222.74913118948,135788.1984
Moscow,55.7558,37.6178,Russia,Minsk,53.9,27.5667,Belarus,677.4752856046438,716.5375,35067.1,130075.2548360916,137575.2
Moscow,55.7558,37.6178,Russia,Kharkiv,49.9925,36.2311,Ukraine,648.0861743243706,1374.8403999999998,68403.5,124432.54547027916,263969.35679999995
Moscow,55.7558,37.6178,Russia,Helsinki,60.1708,24.9375,Finland,895.0497618215055,1092.1877,45561.2,171849.55426972907,209700.0384
Moscow,55.7558,37.6178,Russia,Kazan,55.7964,49.1089,Russia,720.2880888030926,874.7773000000001,42685.0,138295.31305019377,167957.2416
Moscow,55.7558,37.6178,Russia,Samara,53.2028,50.1408,Russia,858.6022674175971,1098.5278,54565.0,164851.63534417865,210917.33760000003
Moscow,55.7558,37.6178,Russia,Voronezh,51.6717,39.2106,Russia,466.5314453738804,515.8632,25659.7,89574.03751178503,99045.7344
Moscow,55.7558,37.6178,Russia,Volgograd,48.7086,44.5147,Russia,913.8289778061468,970.9296,48889.6,175455.1637387802,186418.48320000002
Moscow,55.7558,37.6178,Russia,Donetsk,48.0028,37.8053,Ukraine,862.7307082572772,1202.0918,58961.2,165644.29598539724,230801.62559999997
Moscow,55.7558,37.6178,Russia,Riga,56.9489,24.1064,Latvia,844.3837093137984,919.9653,46492.8,162121.6721882493,176633.3376
Moscow,55.7558,37.6178,Russia,Saratov,51.5333,46.0167,Russia,726.7093920538673,846.4857,43804.4,139528.20327434252,162525.25439999998
Moscow,55.7558,37.6178,Russia,Zaporizhzhia,47.85,35.1175,Ukraine,896.2172275324241,1432.4429,72319.9,172073.70768622542,275029.0368
Moscow,55.7558,37.6178,Russia,Vilnius,54.6872,25.28,Lithuania,793.0579855284532,898.7911,43426.0,152267.133221463,172567.8912
Moscow,55.7558,37.6178,Russia,Penza,53.2,45.0,Russia,556.2903602330867,642.6632,35413.4,106807.74916475266,123391.33439999999
Moscow,55.7558,37.6178,Russia,Kirov,58.6,49.65,Russia,792.2417553746156,984.6043,50342.7,152110.41703192622,189044.0256
Moscow,55.7558,37.6178,Russia,Cheboksary,56.1333,47.25,Russia,602.8119087345616,725.2230999999999,34346.8,115739.88647703582,139242.83519999997
Moscow,55.7558,37.6178,Russia,Tallinn,59.4372,24.7453,Estonia,870.1071954299027,1019.9756,44639.6,167060.58152254132,195835.3152
Moscow,55.7558,37.6178,Russia,Belgorod,50.6,36.6,Russia,577.7899931487602,667.6686,35381.7,110935.67868456196,128192.3712
Moscow,55.7558,37.6178,Russia,Kaunas,54.8972,23.8861,Lithuania,875.3605665150523,997.6318,47393.2,168069.22877089004,191545.3056
Moscow,55.7558,37.6178,Russia,Vinnytsia,49.2333,28.4833,Ukraine,953.2234675252512,1706.0029,86644.1,183018.90576484823,327552.5568
Moscow,55.7558,37.6178,Russia,Arkhangelsk,64.55,40.5333,Russia,992.8215071753498,1227.1462,65540.0,190621.72937766716,235612.07039999997
Moscow,55.7558,37.6178,Russia,Brest,52.1347,23.6569,Belarus,999.097090306092,1063.4565,48475.6,191826.64133876967,204183.648
Moscow,55.7558,37.6178,Russia,Petrozavodsk,61.7833,34.35,Russia,697.2989390937854,1018.7212,47148.3,133881.3963060068,195594.4704
Moscow,55.7558,37.6178,Russia,Rivne,50.6192,26.2519,Ukraine,948.869244824578,1389.9948,69612.0,182182.89500631898,266879.00159999996
Moscow,55.7558,37.6178,Russia,Pskov,57.8167,28.3333,Russia,611.4888530638486,815.2503,35900.1,117405.85978825894,156528.0576
Istanbul,41.0136,28.955,Turkey,Ankara,39.93,32.85,Turkey,351.5029317396145,452.9338,16806.8,67488.56289400598,86963.2896
Istanbul,41.0136,28.955,Turkey,Izmir,38.42,27.14,Turkey,327.3082388215791,479.7978,16874.9,62843.18185374318,92121.1776
Istanbul,41.0136,28.955,Turkey,Bursa,40.1833,29.05,Turkey,92.5515862006764,164.6086,6764.5,17769.904550529867,31604.851199999997
Istanbul,41.0136,28.955,Turkey,Antalya,36.8874,30.7075,Turkey,482.5720653825457,676.8844,31087.9,92653.83655344878,129961.80480000001
Istanbul,41.0136,28.955,Turkey,Konya,37.8667,32.4833,Turkey,462.86485715966177,708.6724,26917.6,88870.05257465506,136065.10080000001
