city,lat,lng,country,avg_trend_val,population,review_count,number_of_attractions,attraction_reviews,attraction_photos
Van,38.4942,43.38,Turkey,70.77777777777777,353419.0,4901,40,1761,6579
Luxembourg,49.6117,6.1319,Luxembourg,69.37931034482759,132780.0,207447,627,33398,32139
Santander,43.4628,-3.805,Spain,65.81226053639847,172221.0,136209,234,22803,12986
Maastricht,50.85,5.6833,Netherlands,64.64367816091954,277721.0,107940,244,19654,12780
Kiel,54.3233,10.1394,Germany,62.94636015325671,246601.0,20770,173,2543,2397
Zurich,47.3744,8.5411,Switzerland,61.84291187739464,436332.0,329908,1028,56189,59314
Brno,49.1925,16.6083,Czechia,60.9272030651341,382405.0,49869,361,10536,10806
Sibiu,45.7928,24.1519,Romania,60.61302681992337,147245.0,35778,176,7883,9504
Porto,41.1621,-8.622,Portugal,60.26819923371647,1278210.0,853450,1508,220175,155066
Bordeaux,44.84,-0.58,France,59.71647509578544,260958.0,490025,990,87023,48582
Vilnius,54.6872,25.28,Lithuania,59.1992337164751,708203.0,158717,740,48641,44734
Dublin,53.35,-6.2603,Ireland,58.888888888888886,1173179.0,1465036,1936,476956,249785
Lyon,45.76,4.84,France,58.67432950191571,522969.0,547539,910,105209,62031
Bratislava,48.1439,17.1097,Slovakia,57.91570881226053,475503.0,169929,757,58734,72207
Zaragoza,41.65,-0.8833,Spain,57.63984674329502,675301.0,210811,352,42284,27890
Sarajevo,43.8564,18.4131,Bosnia and Herzegovina,57.57471264367816,419957.0,83834,477,28092,24045
Murcia,37.9861,-1.1303,Spain,57.49042145593869,672773.0,96744,333,14021,11057
Bologna,44.4939,11.3428,Italy,55.46360153256705,392564.0,627067,866,83878,68850
Geneva,46.2017,6.1469,Switzerland,55.26053639846743,201818.0,239440,660,49878,33737
Tampere,61.4981,23.76,Finland,54.44444444444444,334112.0,33417,248,5868,4415
Amsterdam,52.3728,4.8936,Netherlands,54.24904214559387,1459402.0,2128358,3258,650694,317469
Lille,50.6278,3.0583,France,54.0919540229885,234475.0,272983,520,45150,17417
Reykjavik,64.1467,-21.94,Iceland,53.877394636015325,135688.0,631811,925,181692,126316
